dataset,model,seed,outlier_rate,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
spiral,kde,1,0.08,0.0022409380726924333,0.09316950657327647,0.8155,0.984,0.8092691622103387,2.42766498226236,0.1124270807259429,0.21972417831420898
spiral,gmm,1,0.08,0.0018132269242390198,0.0842163392537593,0.7735,0.953,0.7575757575757576,2.6103940025909877,0.1124270807259429,0.34615302085876465
spiral,vae,1,0.08,0.002123236656188965,0.10130803493981082,0.701,0.9065,0.6559714795008913,,0.1124270807259429,0.4424738883972168
spiral,ddpm,1,0.08,0.003611922264099121,0.12390739992962993,0.689,0.9425,0.7629233511586453,,0.1124270807259429,1.2271292209625244
spiral,kde,1,0.15,0.0030596697875171497,0.1126090596258719,0.8505,0.978,0.8181818181818182,2.3059917547919717,0.1124270807259429,0.23476362228393555
spiral,gmm,1,0.15,0.002959519565181923,0.1049043213142367,0.7035,0.9485,0.7433155080213903,2.8187569815924163,0.1124270807259429,0.24066829681396484
spiral,vae,1,0.15,0.00359344482421875,0.11195847479798693,0.6715,0.933,0.7272727272727273,,0.1124270807259429,0.4226670265197754
spiral,ddpm,1,0.15,0.002182483673095703,0.10472075492937359,0.679,0.938,0.7183600713012478,,0.1124270807259429,1.3406012058258057
gaussian_mixture,kde,2,0.0,0.00018414491210716477,0.026741138474553346,0.9175,0.973,0.9583333333333334,0.04339589506023261,0.03587120418812421,0.19700193405151367
gaussian_mixture,gmm,2,0.0,6.014372533580392e-05,0.01924244445144493,0.952,0.962,0.8802083333333334,-0.003684379204724572,0.03587120418812421,0.09990715980529785
gaussian_mixture,vae,2,0.0,0.011668801307678223,0.19774613492874168,0.1965,0.7205,0.8541666666666666,,0.03587120418812421,0.4974799156188965
gaussian_mixture,ddpm,2,0.0,0.0004019737243652344,0.06765530784448046,0.521,0.954,0.953125,,0.03587120418812421,1.279695987701416
gaussian_mixture,kde,2,0.03,0.00034137922576849,0.06468226885020939,0.6235,0.968,0.9739583333333334,0.5381005605716428,0.03587120418812421,0.19551420211791992
gaussian_mixture,gmm,2,0.03,0.0005785638755477773,0.05375546474287987,0.9075,0.961,0.9010416666666666,0.025199683414122744,0.03587120418812421,0.14412283897399902
gaussian_mixture,vae,2,0.03,0.004447340965270996,0.24202416141856722,0.077,0.3555,0.6145833333333334,,0.03587120418812421,0.4066030979156494
gaussian_mixture,ddpm,2,0.03,0.0022749900817871094,0.12220787503590347,0.3525,0.875,0.921875,,0.03587120418812421,1.4238102436065674
gaussian_mixture,kde,2,0.08,0.0008888232132431284,0.07487915605709627,0.732,0.984,0.9947916666666666,0.30608658860862975,0.03587120418812421,0.21754217147827148
gaussian_mixture,gmm,2,0.08,0.0007383592008740614,0.06252584307305581,0.8855,0.9655,0.8958333333333334,0.06874665844977695,0.03587120418812421,0.1504960060119629
gaussian_mixture,vae,2,0.08,0.0014077425003051758,0.22665802546652872,0.085,0.3635,0.6614583333333334,,0.03587120418812421,0.4146401882171631
gaussian_mixture,ddpm,2,0.08,0.002965092658996582,0.15711106394654534,0.1885,0.6485,0.890625,,0.03587120418812421,1.2640061378479004
gaussian_mixture,kde,2,0.15,0.001575780869802701,0.09767811843602972,0.697,0.983,0.9635416666666666,0.3648008678354518,0.03587120418812421,0.29572629928588867
gaussian_mixture,gmm,2,0.15,0.0016551782765072964,0.09170380024368502,0.843,0.9605,0.9010416666666666,0.12771879830363045,0.03587120418812421,0.5080578327178955
gaussian_mixture,vae,2,0.15,0.002620100975036621,0.25141800220383603,0.072,0.358,0.6041666666666666,,0.03587120418812421,0.5156009197235107
gaussian_mixture,ddpm,2,0.15,0.0016437768936157227,0.22230574255089067,0.082,0.376,0.671875,,0.03587120418812421,1.5144479274749756
ring,kde,2,0.0,0.00017318833659385469,0.0315884389768135,0.958,0.9855,0.8995433789954338,1.2226736200598172,0.06847449104239736,0.18599700927734375
ring,gmm,2,0.0,0.00024619036546025264,0.03182335276307495,0.981,0.981,0.860730593607306,1.2019956117800625,0.06847449104239736,0.2714719772338867
ring,vae,2,0.0,0.012440323829650879,0.18966002570956642,0.5135,0.965,0.8105022831050228,,0.06847449104239736,0.5012519359588623
ring,ddpm,2,0.0,0.0017493963241577148,0.0781741806725145,0.94,0.9865,0.8949771689497716,,0.06847449104239736,1.3548250198364258
ring,kde,2,0.03,0.0011377719273708564,0.08212658343971743,0.827,0.996,0.95662100456621,1.429940071051938,0.06847449104239736,0.2009139060974121
ring,gmm,2,0.03,0.0006104273826448292,0.06220904223861392,0.9485,0.9795,0.860730593607306,1.2434920882973175,0.06847449104239736,0.20850324630737305
